q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7,t_solve
-0.139911,-0.503579,-0.595378,-2.2446,-0.331147,1.63877,-1.72372,0.017081,0.00359212,-0.00713355,-0.0119698,-0.00371468,-0.00388268,-0.0392231,-0.0966971,-0.0183573,0.0454129,0.0525081,0.0156921,0.00538751,0.22476,8.105
-0.139894,-0.503576,-0.595385,-2.24461,-0.331151,1.63877,-1.72376,0.0169845,0.0035738,-0.00708824,-0.0119174,-0.00369903,-0.00387732,-0.0389989,-0.0964565,-0.0183182,0.0453142,0.0523761,0.0156482,0.005358,0.224208,7.79
-0.139877,-0.503572,-0.595393,-2.24463,-0.331154,1.63877,-1.7238,0.0168883,0.00355552,-0.00704302,-0.0118652,-0.00368343,-0.00387199,-0.0387752,-0.0962156,-0.018279,0.0452151,0.0522442,0.0156042,0.00532877,0.223655,7.898
-0.13986,-0.503569,-0.595399,-2.24464,-0.331158,1.63876,-1.72384,0.0167923,0.00353728,-0.00699791,-0.0118131,-0.00366787,-0.00386669,-0.0385521,-0.0959745,-0.0182397,0.0451157,0.0521122,0.0155604,0.00529982,0.223101,7.795
-0.139844,-0.503565,-0.595406,-2.24465,-0.331162,1.63876,-1.72388,0.0166966,0.00351908,-0.00695289,-0.0117611,-0.00365235,-0.00386142,-0.0383296,-0.095733,-0.0182003,0.045016,0.0519803,0.0155166,0.00527115,0.222546,8.185
-0.139827,-0.503562,-0.595413,-2.24466,-0.331165,1.63875,-1.72392,0.0166011,0.00350092,-0.00690798,-0.0117093,-0.00363688,-0.00385618,-0.0381076,-0.0954913,-0.0181608,0.044916,0.0518483,0.0154728,0.00524274,0.221991,8.153
-0.139811,-0.503558,-0.59542,-2.24467,-0.331169,1.63875,-1.72395,0.0165059,0.0034828,-0.00686316,-0.0116575,-0.00362145,-0.00385096,-0.0378861,-0.0952493,-0.0181211,0.0448157,0.0517162,0.0154291,0.00521461,0.221435,8.013
-0.139794,-0.503555,-0.595427,-2.24469,-0.331173,1.63875,-1.72399,0.0164108,0.00346472,-0.00681845,-0.011606,-0.00360606,-0.00384578,-0.0376653,-0.0950071,-0.0180814,0.0447151,0.0515842,0.0153854,0.00518674,0.220878,8.552
-0.139778,-0.503551,-0.595434,-2.2447,-0.331176,1.63874,-1.72403,0.0163161,0.00344668,-0.00677383,-0.0115545,-0.00359072,-0.00384062,-0.0374449,-0.0947646,-0.0180416,0.0446142,0.0514522,0.0153418,0.00515915,0.220321,9.176
-0.139762,-0.503548,-0.59544,-2.24471,-0.33118,1.63874,-1.72407,0.0162216,0.00342868,-0.00672932,-0.0115032,-0.00357542,-0.00383548,-0.0372252,-0.0945219,-0.0180017,0.044513,0.0513201,0.0152982,0.00513182,0.219763,9.085
-0.139746,-0.503544,-0.595447,-2.24472,-0.331183,1.63874,-1.7241,0.0161273,0.00341071,-0.00668491,-0.011452,-0.00356017,-0.00383038,-0.037006,-0.0942789,-0.0179617,0.0444115,0.051188,0.0152547,0.00510475,0.219205,8.928
-0.13973,-0.503541,-0.595454,-2.24473,-0.331187,1.63873,-1.72414,0.0160332,0.00339279,-0.0066406,-0.0114009,-0.00354496,-0.0038253,-0.0367873,-0.0940357,-0.0179216,0.0443097,0.0510559,0.0152112,0.00507794,0.218645,8.885
-0.139714,-0.503538,-0.59546,-2.24474,-0.33119,1.63873,-1.72418,0.0159395,0.00337491,-0.00659639,-0.01135,-0.00352979,-0.00382025,-0.0365692,-0.0937923,-0.0178814,0.0442077,0.0509238,0.0151677,0.00505139,0.218086,8.921
-0.139698,-0.503534,-0.595467,-2.24475,-0.331194,1.63872,-1.72421,0.0158459,0.00335707,-0.00655228,-0.0112992,-0.00351467,-0.00381522,-0.0363517,-0.0935487,-0.0178411,0.0441054,0.0507918,0.0151243,0.0050251,0.217525,8.176
-0.139682,-0.503531,-0.595473,-2.24476,-0.331197,1.63872,-1.72425,0.0157526,0.00333927,-0.00650828,-0.0112486,-0.00349959,-0.00381023,-0.0361347,-0.0933048,-0.0178007,0.0440027,0.0506597,0.015081,0.00499907,0.216964,8.182
-0.139667,-0.503528,-0.59548,-2.24478,-0.331201,1.63872,-1.72428,0.0156595,0.00332151,-0.00646438,-0.011198,-0.00348455,-0.00380525,-0.0359183,-0.0930607,-0.0177602,0.0438999,0.0505276,0.0150377,0.0049733,0.216402,8.185
-0.139651,-0.503524,-0.595486,-2.24479,-0.331204,1.63871,-1.72432,0.0155667,0.00330379,-0.00642059,-0.0111476,-0.00346955,-0.0038003,-0.0357025,-0.0928165,-0.0177197,0.0437967,0.0503955,0.0149945,0.00494777,0.21584,8.062
-0.139636,-0.503521,-0.595492,-2.2448,-0.331208,1.63871,-1.72436,0.0154742,0.00328611,-0.00637689,-0.0110974,-0.0034546,-0.00379538,-0.0354872,-0.092572,-0.017679,0.0436933,0.0502634,0.0149513,0.0049225,0.215278,8.14
-0.139621,-0.503518,-0.595499,-2.24481,-0.331211,1.6387,-1.72439,0.0153818,0.00326847,-0.0063333,-0.0110472,-0.00343969,-0.00379048,-0.0352725,-0.0923274,-0.0176383,0.0435896,0.0501313,0.0149081,0.00489748,0.214714,8.262
-0.139605,-0.503514,-0.595505,-2.24482,-0.331215,1.6387,-1.72443,0.0152897,0.00325088,-0.00628982,-0.0109972,-0.00342483,-0.00378561,-0.0350584,-0.0920825,-0.0175975,0.0434857,0.0499992,0.014865,0.0048727,0.214151,7.959
-0.13959,-0.503511,-0.595511,-2.24483,-0.331218,1.6387,-1.72446,0.0151979,0.00323332,-0.00624643,-0.0109474,-0.00341001,-0.00378076,-0.0348448,-0.0918375,-0.0175566,0.0433815,0.0498672,0.014822,0.00484817,0.213586,8.09
-0.139575,-0.503508,-0.595517,-2.24484,-0.331221,1.63869,-1.72449,0.0151063,0.0032158,-0.00620316,-0.0108976,-0.00339523,-0.00377594,-0.0346318,-0.0915923,-0.0175156,0.0432771,0.0497351,0.014779,0.00482389,0.213022,7.876
-0.13956,-0.503505,-0.595524,-2.24485,-0.331225,1.63869,-1.72453,0.015015,0.00319833,-0.00615999,-0.010848,-0.00338049,-0.00377114,-0.0344193,-0.0913469,-0.0174746,0.0431724,0.0496031,0.0147361,0.00479985,0.212456,7.798
-0.139545,-0.503502,-0.59553,-2.24486,-0.331228,1.63869,-1.72456,0.0149239,0.00318089,-0.00611692,-0.0107986,-0.0033658,-0.00376636,-0.0342074,-0.0911011,-0.0174334,0.0430673,0.049471,0.0146932,0.00477611,0.21189,7.853
-0.13953,-0.503499,-0.595536,-2.24487,-0.331231,1.63868,-1.7246,0.014833,0.0031635,-0.00607396,-0.0107492,-0.00335115,-0.00376161,-0.0339961,-0.0908547,-0.017392,0.0429617,0.0493387,0.0146503,0.00475267,0.211322,7.868
-0.139516,-0.503495,-0.595542,-2.24488,-0.331235,1.63868,-1.72463,0.0147424,0.00314615,-0.0060311,-0.0107,-0.00333654,-0.00375688,-0.0337853,-0.0906078,-0.0173505,0.0428557,0.0492063,0.0146074,0.00472954,0.210753,7.84
-0.139501,-0.503492,-0.595548,-2.2449,-0.331238,1.63867,-1.72466,0.014652,0.00312884,-0.00598835,-0.0106509,-0.00332198,-0.00375218,-0.0335751,-0.0903602,-0.0173089,0.0427492,0.0490738,0.0145645,0.00470673,0.210182,8.133
-0.139487,-0.503489,-0.595554,-2.24491,-0.331241,1.63867,-1.7247,0.0145619,0.00311158,-0.00594571,-0.010602,-0.00330745,-0.00374749,-0.0333655,-0.0901121,-0.0172671,0.0426422,0.0489411,0.0145216,0.00468423,0.20961,8.184
-0.139472,-0.503486,-0.59556,-2.24492,-0.331245,1.63867,-1.72473,0.0144721,0.00309435,-0.00590317,-0.0105532,-0.00329298,-0.00374283,-0.0331565,-0.0898634,-0.0172251,0.0425347,0.0488083,0.0144788,0.00466203,0.209036,7.854
-0.139458,-0.503483,-0.595565,-2.24493,-0.331248,1.63866,-1.72476,0.0143825,0.00307717,-0.00586075,-0.0105045,-0.00327854,-0.00373819,-0.032948,-0.0896141,-0.017183,0.0424269,0.0486753,0.014436,0.00464014,0.208462,8.067
-0.139444,-0.50348,-0.595571,-2.24494,-0.331251,1.63866,-1.7248,0.0142931,0.00306003,-0.00581843,-0.010456,-0.00326415,-0.00373357,-0.0327402,-0.0893644,-0.0171407,0.0423185,0.0485422,0.0143931,0.00461854,0.207885,9.135
-0.139429,-0.503477,-0.595577,-2.24495,-0.331254,1.63866,-1.72483,0.014204,0.00304293,-0.00577622,-0.0104076,-0.0032498,-0.00372897,-0.0325328,-0.0891141,-0.0170983,0.0422097,0.048409,0.0143503,0.00459725,0.207308,8.438
-0.139415,-0.503474,-0.595583,-2.24496,-0.331258,1.63865,-1.72486,0.0141151,0.00302587,-0.00573412,-0.0103593,-0.00323549,-0.0037244,-0.0323261,-0.0888633,-0.0170558,0.0421005,0.0482757,0.0143076,0.00457624,0.206729,8.031
-0.139401,-0.503471,-0.595588,-2.24497,-0.331261,1.63865,-1.72489,0.0140265,0.00300886,-0.00569213,-0.0103112,-0.00322122,-0.00371984,-0.03212,-0.0886119,-0.0170131,0.0419909,0.0481423,0.0142648,0.00455553,0.206149,7.967
-0.139387,-0.503468,-0.595594,-2.24498,-0.331264,1.63864,-1.72492,0.0139381,0.00299189,-0.00565025,-0.0102631,-0.003207,-0.00371531,-0.0319144,-0.0883601,-0.0169702,0.0418809,0.0480087,0.0142221,0.00453511,0.205567,8.056
-0.139374,-0.503465,-0.5956,-2.24499,-0.331267,1.63864,-1.72496,0.01385,0.00297496,-0.00560848,-0.0102153,-0.00319282,-0.00371079,-0.0317094,-0.0881079,-0.0169272,0.0417704,0.0478751,0.0141794,0.00451498,0.204985,8.014
-0.13936,-0.503462,-0.595605,-2.245,-0.33127,1.63864,-1.72499,0.0137622,0.00295808,-0.00556682,-0.0101675,-0.00317869,-0.0037063,-0.031505,-0.0878551,-0.0168841,0.0416596,0.0477413,0.0141367,0.00449513,0.204401,8.004
-0.139346,-0.503459,-0.595611,-2.24501,-0.331274,1.63863,-1.72502,0.0136746,0.00294124,-0.00552527,-0.0101199,-0.00316459,-0.00370182,-0.0313012,-0.0876019,-0.0168409,0.0415483,0.0476075,0.014094,0.00447556,0.203816,8.029
-0.139333,-0.503456,-0.595616,-2.24502,-0.331277,1.63863,-1.72505,0.0135872,0.00292444,-0.00548383,-0.0100724,-0.00315054,-0.00369736,-0.031098,-0.0873483,-0.0167975,0.0414367,0.0474735,0.0140513,0.00445627,0.20323,8.237
-0.139319,-0.503453,-0.595621,-2.24503,-0.33128,1.63863,-1.72508,0.0135001,0.00290769,-0.00544251,-0.0100251,-0.00313653,-0.00369293,-0.0308953,-0.0870942,-0.016754,0.0413247,0.0473395,0.0140087,0.00443726,0.202643,8.032
-0.139306,-0.50345,-0.595627,-2.24504,-0.331283,1.63862,-1.72511,0.0134133,0.00289098,-0.0054013,-0.0099779,-0.00312257,-0.00368851,-0.0306933,-0.0868398,-0.0167104,0.0412123,0.0472053,0.0139661,0.00441852,0.202055,7.874
-0.139293,-0.503448,-0.595632,-2.24505,-0.331286,1.63862,-1.72514,0.0133267,0.00287431,-0.0053602,-0.00993083,-0.00310864,-0.00368411,-0.0304918,-0.0865849,-0.0166666,0.0410995,0.0470711,0.0139235,0.00440005,0.201466,7.904
-0.139279,-0.503445,-0.595637,-2.24506,-0.331289,1.63862,-1.72517,0.0132404,0.00285769,-0.00531921,-0.00988389,-0.00309476,-0.00367973,-0.0302909,-0.0863296,-0.0166227,0.0409864,0.0469369,0.013881,0.00438184,0.200876,8.195
-0.139266,-0.503442,-0.595643,-2.24507,-0.331292,1.63861,-1.7252,0.0131543,0.00284111,-0.00527834,-0.00983709,-0.00308092,-0.00367536,-0.0300906,-0.0860739,-0.0165787,0.0408729,0.0468025,0.0138385,0.00436391,0.200285,8.5
-0.139253,-0.503439,-0.595648,-2.24508,-0.331295,1.63861,-1.72523,0.0130685,0.00282457,-0.00523758,-0.00979042,-0.00306713,-0.00367102,-0.029891,-0.0858179,-0.0165346,0.0407591,0.0466681,0.013796,0.00434624,0.199693,8.587
-0.13924,-0.503436,-0.595653,-2.24509,-0.331298,1.6386,-1.72526,0.0129829,0.00280808,-0.00519693,-0.00974389,-0.00305337,-0.00366669,-0.0296919,-0.0855615,-0.0164904,0.0406449,0.0465336,0.0137535,0.00432883,0.1991,9.07
-0.139228,-0.503433,-0.595658,-2.2451,-0.331301,1.6386,-1.72529,0.0128976,0.00279164,-0.0051564,-0.00969749,-0.00303966,-0.00366238,-0.0294933,-0.0853047,-0.016446,0.0405304,0.046399,0.0137111,0.00431168,0.198506,8.767
-0.139215,-0.503431,-0.595663,-2.24511,-0.331304,1.6386,-1.72532,0.0128126,0.00277524,-0.00511599,-0.00965123,-0.00302599,-0.00365808,-0.0292954,-0.0850476,-0.0164016,0.0404156,0.0462644,0.0136687,0.00429478,0.197911,9.24
-0.139202,-0.503428,-0.595668,-2.24512,-0.331307,1.63859,-1.72535,0.0127278,0.00275888,-0.00507569,-0.0096051,-0.00301237,-0.0036538,-0.0290981,-0.0847902,-0.016357,0.0403004,0.0461298,0.0136263,0.00427814,0.197315,8.565
-0.139189,-0.503425,-0.595673,-2.24513,-0.33131,1.63859,-1.72538,0.0126432,0.00274257,-0.0050355,-0.0095591,-0.00299878,-0.00364954,-0.0289014,-0.0845324,-0.0163124,0.040185,0.045995,0.013584,0.00426175,0.196719,8.72
-0.139177,-0.503422,-0.595678,-2.24514,-0.331313,1.63859,-1.72541,0.012559,0.0027263,-0.00499543,-0.00951324,-0.00298524,-0.0036453,-0.0287053,-0.0842743,-0.0162676,0.0400692,0.0458603,0.0135417,0.00424561,0.196122,8.053
-0.139165,-0.50342,-0.595683,-2.24515,-0.331316,1.63858,-1.72543,0.012475,0.00271008,-0.00495548,-0.00946752,-0.00297174,-0.00364107,-0.0285098,-0.084016,-0.0162227,0.0399531,0.0457255,0.0134994,0.00422972,0.195524,7.995
-0.139152,-0.503417,-0.595688,-2.24516,-0.331319,1.63858,-1.72546,0.0123912,0.0026939,-0.00491564,-0.00942193,-0.00295828,-0.00363685,-0.0283148,-0.0837573,-0.0161778,0.0398367,0.0455906,0.0134572,0.00421408,0.194925,7.994
-0.13914,-0.503414,-0.595693,-2.24516,-0.331322,1.63858,-1.72549,0.0123077,0.00267777,-0.00487592,-0.00937647,-0.00294487,-0.00363265,-0.0281205,-0.0834983,-0.0161327,0.03972,0.0454557,0.013415,0.00419867,0.194325,8.127
-0.139128,-0.503412,-0.595698,-2.24517,-0.331325,1.63857,-1.72552,0.0122245,0.00266168,-0.00483632,-0.00933115,-0.0029315,-0.00362847,-0.0279268,-0.083239,-0.0160875,0.039603,0.0453208,0.0133728,0.00418351,0.193725,8.126
-0.139116,-0.503409,-0.595703,-2.24518,-0.331328,1.63857,-1.72555,0.0121415,0.00264564,-0.00479683,-0.00928596,-0.00291817,-0.0036243,-0.0277337,-0.0829795,-0.0160423,0.0394857,0.0451859,0.0133307,0.00416859,0.193124,7.987
-0.139104,-0.503407,-0.595707,-2.24519,-0.331331,1.63856,-1.72557,0.0120588,0.00262964,-0.00475747,-0.00924091,-0.00290488,-0.00362015,-0.0275411,-0.0827197,-0.0159969,0.0393682,0.0450509,0.0132886,0.00415391,0.192522,7.963
-0.139092,-0.503404,-0.595712,-2.2452,-0.331334,1.63856,-1.7256,0.0119763,0.00261369,-0.00471821,-0.009196,-0.00289163,-0.00361601,-0.0273492,-0.0824597,-0.0159515,0.0392504,0.0449159,0.0132465,0.00413946,0.191919,8.029
-0.13908,-0.503401,-0.595717,-2.24521,-0.331337,1.63856,-1.72563,0.0118941,0.00259778,-0.00467908,-0.00915122,-0.00287843,-0.00361188,-0.0271579,-0.0821994,-0.0159059,0.0391323,0.0447809,0.0132045,0.00412524,0.191316,8.156
-0.139068,-0.503399,-0.595721,-2.24522,-0.33134,1.63855,-1.72565,0.0118122,0.00258192,-0.00464007,-0.00910657,-0.00286526,-0.00360777,-0.0269672,-0.0819388,-0.0158603,0.0390139,0.0446458,0.0131625,0.00411126,0.190713,7.95
-0.139056,-0.503396,-0.595726,-2.24523,-0.331342,1.63855,-1.72568,0.0117305,0.00256611,-0.00460117,-0.00906206,-0.00285214,-0.00360367,-0.0267771,-0.081678,-0.0158146,0.0388953,0.0445107,0.0131206,0.00409751,0.190108,7.945
-0.139045,-0.503394,-0.595731,-2.24524,-0.331345,1.63855,-1.72571,0.0116491,0.00255034,-0.0045624,-0.00901768,-0.00283906,-0.00359959,-0.0265876,-0.081417,-0.0157688,0.0387764,0.0443757,0.0130786,0.00408398,0.189503,7.82
-0.139033,-0.503391,-0.595735,-2.24525,-0.331348,1.63854,-1.72573,0.0115679,0.00253461,-0.00452374,-0.00897344,-0.00282603,-0.00359552,-0.0263987,-0.0811558,-0.0157229,0.0386573,0.0442406,0.0130368,0.00407068,0.188898,7.881
-0.139022,-0.503389,-0.595739,-2.24526,-0.331351,1.63854,-1.72576,0.011487,0.00251894,-0.0044852,-0.00892934,-0.00281303,-0.00359146,-0.0262104,-0.0808944,-0.015677,0.0385379,0.0441055,0.0129949,0.0040576,0.188292,7.801
-0.13901,-0.503386,-0.595744,-2.24526,-0.331354,1.63854,-1.72579,0.0114064,0.00250331,-0.00444678,-0.00888537,-0.00280008,-0.00358742,-0.0260227,-0.0806327,-0.015631,0.0384183,0.0439703,0.0129531,0.00404475,0.187685,7.782
-0.138999,-0.503384,-0.595748,-2.24527,-0.331356,1.63853,-1.72581,0.011326,0.00248772,-0.00440849,-0.00884153,-0.00278717,-0.00358338,-0.0258356,-0.0803709,-0.0155848,0.0382984,0.0438352,0.0129114,0.00403212,0.187078,7.815
-0.138988,-0.503381,-0.595753,-2.24528,-0.331359,1.63853,-1.72584,0.0112459,0.00247218,-0.00437031,-0.00879783,-0.0027743,-0.00357936,-0.0256492,-0.0801088,-0.0155387,0.0381783,0.0437001,0.0128697,0.0040197,0.18647,8.159
